Crop type,Season,Year,State,District,Annual rainfall (mm),Cultivated area (hectares),Total production (tonnes),Pesticide and fertilizer used (kg/hectare),Yield (tonnes/hectare)
Mango,Rabi,2012-2013,Odisha,Ganjam,1493.04,28229,50247.62,184.55,1.78
Sugarcane,Kharif,2002-2003,Odisha,Balangir,1555.58,11306,913977.04,191.18,80.84
Mung (Green Gram),Kharif,2010-2011,Odisha,Nayagarh,1260.51,15695,24798.1,116.76,1.58
Small Millets,Kharif,2011-2012,Odisha,Keonjhar,1375.82,20330,33747.8,253.94,1.66
Coconut,Kharif,2003-2004,Odisha,Rayagada,1644.05,20514,31796.7,213.03,1.55
Maize,Rabi,2018-2019,Odisha,Bhadrak,1290.36,93312,277136.64,214.0,2.97
Coconut,Rabi,2021-2022,Odisha,Malkangiri,1353.0,20918,34933.06,139.2,1.67
Niger,Kharif,2012-2013,Odisha,Ganjam,1310.53,10773,18098.64,225.19,1.68
Sugarcane,Rabi,2000-2001,Odisha,Koraput,1551.11,10459,847074.41,161.09,80.99
Sunflower,Kharif,2007-2008,Odisha,Dhenkanal,1550.24,13731,23480.01,232.91,1.71
Onion,Rabi,2011-2012,Odisha,Gajapati,1616.0,17948,29255.24,208.72,1.63
Wheat,Rabi,2022-2023,Odisha,Koraput,1198.57,14488,37089.28,126.33,2.56
Sweet Potato,Rabi,2017-2018,Odisha,Jharsuguda,1391.64,15055,27400.1,220.59,1.82
Turmeric,Kharif,2004-2005,Odisha,Nuapada,1620.26,13217,20089.84,87.17,1.52
Gram (Chickpea),Kharif,2004-2005,Odisha,Nayagarh,1321.16,32644,47333.8,192.52,1.45
Ginger,Rabi,2004-2005,Odisha,Ganjam,1510.77,28746,46281.06,203.82,1.61
Potato,Kharif,2014-2015,Odisha,Nayagarh,1380.32,9331,204255.59,166.93,21.89
Pineapple,Rabi,2023-2024,Odisha,Kandhamal,1292.26,29971,52149.54,199.41,1.74
Tobacco,Rabi,2005-2006,Odisha,Kalahandi,1471.65,20245,30367.5,152.07,1.5
Potato,Rabi,2017-2018,Odisha,Kandhamal,1313.66,22101,479591.7,250.44,21.7
Guava,Rabi,2013-2014,Odisha,Khordha,1212.1,7359,12068.76,206.68,1.64
Cashew,Rabi,2001-2002,Odisha,Jharsuguda,1671.68,31197,47419.44,211.04,1.52
Niger,Rabi,2010-2011,Odisha,Jharsuguda,1359.28,15771,25864.44,118.62,1.64
Ragi (Finger Millet),Kharif,2007-2008,Odisha,Kendrapara,1466.03,27069,41956.95,196.24,1.55
Rubber,Rabi,2015-2016,Odisha,Jagatsinghapur,1263.55,30665,46610.8,220.83,1.52
Chilli,Kharif,2012-2013,Odisha,Rayagada,1489.34,26811,45578.7,194.51,1.7
Cauliflower,Kharif,2021-2022,Odisha,Nuapada,1684.04,26197,40867.32,120.61,1.56
Gourds,Rabi,2023-2024,Odisha,Khordha,1553.05,19217,36127.96,186.76,1.88
Jowar (Sorghum),Kharif,2004-2005,Odisha,Nuapada,1249.21,13696,19311.36,150.91,1.41
Arhar (Pigeon Pea),Kharif,2008-2009,Odisha,Jajpur,1664.27,14345,24960.3,174.36,1.74
Lentil,Rabi,2024-2025,Odisha,Gajapati,1872.22,28350,52164.0,185.81,1.84
Groundnut,Rabi,2000-2001,Odisha,Sambalpur,1664.65,19796,27912.36,129.44,1.41
Jackfruit,Rabi,2008-2009,Odisha,Angul,1443.24,17040,26923.2,222.06,1.58
Jowar (Sorghum),Kharif,2024-2025,Odisha,Gajapati,1499.36,22136,41172.96,122.56,1.86
Banana,Rabi,2004-2005,Odisha,Malkangiri,1618.52,17725,540080.75,115.64,30.47
Cashew,Kharif,2022-2023,Odisha,Puri,1498.48,25854,45503.04,143.47,1.76
Maize,Kharif,2004-2005,Odisha,Jagatsinghapur,1438.96,59282,180810.1,133.66,3.05
Garlic,Kharif,2012-2013,Odisha,Subarnapur,1545.66,17901,31684.77,191.98,1.77
Niger,Rabi,2010-2011,Odisha,Khordha,1544.02,22663,37167.32,182.91,1.64
Rice (Paddy),Kharif,2016-2017,Odisha,Jajpur,1363.02,166339,570542.77,118.29,3.43
Cabbage,Rabi,2016-2017,Odisha,Jharsuguda,1257.55,33809,52403.95,204.47,1.55
Jute,Rabi,2018-2019,Odisha,Boudh,1607.9,18107,48164.62,192.56,2.66
Turmeric,Rabi,2001-2002,Odisha,Balasore,1350.18,34114,52876.7,237.94,1.55
Cauliflower,Kharif,2010-2011,Odisha,Keonjhar,1538.86,17525,29967.75,219.93,1.71
Guava,Rabi,2004-2005,Odisha,Nabarangpur,1181.68,20545,25681.25,111.8,1.25
Chilli,Kharif,2003-2004,Odisha,Khordha,1584.23,21046,27780.72,145.9,1.32
Wheat,Rabi,2021-2022,Odisha,Keonjhar,1628.81,30337,74629.02,255.45,2.46
Cotton,Kharif,2004-2005,Odisha,Subarnapur,1533.89,77230,40931.9,236.81,0.53
Potato,Rabi,2006-2007,Odisha,Kalahandi,1462.57,14146,313192.44,143.31,22.14
Gram (Chickpea),Kharif,2014-2015,Odisha,Balasore,1196.04,12293,19545.87,93.19,1.59
Lentil,Rabi,2024-2025,Odisha,Balangir,1501.91,20923,40590.62,247.95,1.94
Gourds,Kharif,2005-2006,Odisha,Nayagarh,1243.24,20810,31423.1,136.64,1.51
Mustard,Kharif,2010-2011,Odisha,Sundargarh,1378.88,24852,37029.48,220.4,1.49
Garlic,Kharif,2020-2021,Odisha,Jagatsinghapur,1734.53,18502,32748.54,230.84,1.77
Coconut,Rabi,2018-2019,Odisha,Angul,1593.34,3990,6902.7,168.86,1.73
Mesta,Rabi,2002-2003,Odisha,Balangir,1463.5,569,864.88,206.8,1.52
Ragi (Finger Millet),Rabi,2005-2006,Odisha,Ganjam,1587.91,14245,22222.2,232.25,1.56
Turmeric,Rabi,2016-2017,Odisha,Kendrapara,1250.98,657,1070.91,123.06,1.63
Guava,Kharif,2023-2024,Odisha,Jajpur,1584.2,36139,66857.15,256.38,1.85
Gourds,Rabi,2014-2015,Odisha,Cuttack,1517.39,19963,33338.21,169.39,1.67
Brinjal (Eggplant),Rabi,2016-2017,Odisha,Subarnapur,1322.77,22596,37509.36,252.23,1.66
Coffee,Rabi,2013-2014,Odisha,Angul,1548.18,16176,29278.56,155.53,1.81
Sweet Potato,Kharif,2012-2013,Odisha,Jajpur,1510.7,22306,36581.84,225.5,1.64
Cauliflower,Kharif,2004-2005,Odisha,Subarnapur,1584.5,27233,40577.17,177.23,1.49
Ragi (Finger Millet),Kharif,2020-2021,Odisha,Koraput,1362.81,31292,56325.6,168.66,1.8
Kulthi (Horse Gram),Kharif,2015-2016,Odisha,Mayurbhanj,1479.11,12941,21870.29,218.92,1.69
Potato,Rabi,2022-2023,Odisha,Nabarangpur,1196.99,12313,266945.84,124.64,21.68
Guava,Rabi,2011-2012,Odisha,Jagatsinghapur,1566.73,27802,45039.24,183.28,1.62
Coriander,Rabi,2008-2009,Odisha,Angul,1352.64,7846,12318.22,142.61,1.57
Mustard,Rabi,2004-2005,Odisha,Sundargarh,1537.6,9231,14769.6,248.0,1.6
Potato,Rabi,2000-2001,Odisha,Gajapati,1345.28,29646,641242.98,171.75,21.63
Cotton,Rabi,2001-2002,Odisha,Jharsuguda,1037.38,29467,14438.83,224.85,0.49
Coriander,Kharif,2017-2018,Odisha,Kandhamal,1429.72,9146,14725.06,163.84,1.61
Lentil,Rabi,2008-2009,Odisha,Bargarh,1607.89,2555,3960.25,148.78,1.55
Jackfruit,Rabi,2014-2015,Odisha,Koraput,1390.36,29657,49527.19,188.51,1.67
Gourds,Rabi,2008-2009,Odisha,Angul,1259.84,13287,19399.02,203.15,1.46
Cashew,Rabi,2000-2001,Odisha,Kandhamal,1448.85,7286,10127.54,136.88,1.39
Sweet Potato,Rabi,2022-2023,Odisha,Rayagada,1333.06,15270,25348.2,178.37,1.66
Papaya,Kharif,2019-2020,Odisha,Nuapada,1243.61,13564,467144.16,120.98,34.44
Gourds,Kharif,2015-2016,Odisha,Deogarh,1380.96,17173,27991.99,92.78,1.63
Turmeric,Rabi,2014-2015,Odisha,Ganjam,1666.47,17659,28077.81,124.92,1.59
Small Millets,Kharif,2006-2007,Odisha,Mayurbhanj,1453.48,20643,29932.35,207.11,1.45
Jackfruit,Kharif,2002-2003,Odisha,Subarnapur,1700.57,19027,32155.63,172.21,1.69
Maize,Kharif,2006-2007,Odisha,Angul,1577.63,28079,87325.69,181.39,3.11
Exotic Vegetables,Rabi,2023-2024,Odisha,Jharsuguda,1283.61,14346,24962.04,213.94,1.74
Rice (Paddy),Kharif,2004-2005,Odisha,Boudh,1525.01,174724,616775.72,194.14,3.53
Pineapple,Kharif,2019-2020,Odisha,Sundargarh,1554.48,19174,31445.36,124.45,1.64
Tobacco,Rabi,2008-2009,Odisha,Jharsuguda,1537.55,10592,18218.24,216.21,1.72
Papaya,Kharif,2014-2015,Odisha,Nabarangpur,1245.39,15786,540670.5,225.92,34.25
Sunflower,Rabi,2017-2018,Odisha,Boudh,1348.48,7209,12111.12,215.44,1.68
Biri (Black Gram),Kharif,2021-2022,Odisha,Nabarangpur,1305.8,20316,32302.44,209.83,1.59
Sesamum (Til),Kharif,2001-2002,Odisha,Bhadrak,1390.35,13337,18271.69,96.7,1.37
Kulthi (Horse Gram),Kharif,2008-2009,Odisha,Subarnapur,1587.02,42364,63969.64,153.7,1.51
Chilli,Kharif,2017-2018,Odisha,Jagatsinghapur,1545.31,18048,27432.96,229.65,1.52
Pineapple,Kharif,2007-2008,Odisha,Jajpur,1275.96,27387,39437.28,207.79,1.44
Tea,Kharif,2017-2018,Odisha,Deogarh,1388.81,24924,41623.08,235.32,1.67
Rubber,Rabi,2017-2018,Odisha,Ganjam,1531.56,25892,44275.32,216.75,1.71
Cotton,Rabi,2013-2014,Odisha,Kalahandi,1692.98,79951,51168.64,233.1,0.64
Sugarcane,Rabi,2023-2024,Odisha,Kendrapara,1738.63,8683,714524.07,259.4,82.29
Arhar (Pigeon Pea),Rabi,2023-2024,Odisha,Dhenkanal,1298.63,16657,30815.45,97.27,1.85
Papaya,Rabi,2011-2012,Odisha,Nabarangpur,1363.91,17533,609622.41,223.06,34.77
Ginger,Kharif,2005-2006,Odisha,Nuapada,1382.16,23903,35854.5,173.69,1.5
Black Pepper,Rabi,2023-2024,Odisha,Jajpur,1351.05,21381,40196.28,178.35,1.88
Maize,Rabi,2021-2022,Odisha,Jajpur,1337.94,52817,177465.12,232.71,3.36
Tea,Kharif,2014-2015,Odisha,Nuapada,1770.93,27006,48610.8,247.95,1.8
Arhar (Pigeon Pea),Kharif,2000-2001,Odisha,Angul,1947.5,26620,39663.8,117.97,1.49
Oil Palm,Kharif,2001-2002,Odisha,Bhadrak,1690.02,20890,37810.9,247.11,1.81
Coriander,Kharif,2008-2009,Odisha,Bhadrak,1636.95,22992,39546.24,100.85,1.72
Potato,Kharif,2021-2022,Odisha,Dhenkanal,1427.8,17946,399119.04,186.55,22.24
Oranges & Limes,Kharif,2014-2015,Odisha,Ganjam,1539.97,21668,35752.2,116.27,1.65
Exotic Vegetables,Kharif,2014-2015,Odisha,Keonjhar,1506.01,24105,38085.9,115.1,1.58
Maize,Rabi,2009-2010,Odisha,Khordha,1471.68,64389,191879.22,90.5,2.98
Rubber,Rabi,2014-2015,Odisha,Kalahandi,1367.09,26564,46221.36,234.6,1.74
Oranges & Limes,Kharif,2015-2016,Odisha,Kalahandi,1499.27,31847,49681.32,208.44,1.56
Tobacco,Kharif,2009-2010,Odisha,Nuapada,1216.68,15647,23939.91,225.78,1.53
Jute,Rabi,2024-2025,Odisha,Deogarh,1588.59,19058,55649.36,181.21,2.92
Biri (Black Gram),Kharif,2019-2020,Odisha,Angul,1602.55,7497,11320.47,105.44,1.51
Banana,Rabi,2005-2006,Odisha,Angul,1255.22,21594,632488.26,109.53,29.29
Sesamum (Til),Kharif,2012-2013,Odisha,Nuapada,1498.1,18427,27640.5,246.63,1.5
Onion,Kharif,2023-2024,Odisha,Puri,1476.0,18594,32725.44,113.11,1.76
Coffee,Kharif,2008-2009,Odisha,Deogarh,1334.32,11016,16744.32,224.09,1.52
Tea,Kharif,2014-2015,Odisha,Jagatsinghapur,1402.47,9570,15790.5,158.99,1.65
Field Pea,Rabi,2000-2001,Odisha,Malkangiri,1239.59,7223,10906.73,168.98,1.51
Jowar (Sorghum),Rabi,2013-2014,Odisha,Angul,1411.38,16823,22374.59,214.72,1.33
Groundnut,Kharif,2019-2020,Odisha,Sundargarh,1459.83,16069,25067.64,245.72,1.56
Linseed,Rabi,2011-2012,Odisha,Nuapada,1457.69,30265,52661.1,129.65,1.74
Chilli,Rabi,2021-2022,Odisha,Ganjam,1615.62,14133,23036.79,160.92,1.63
Garlic,Kharif,2024-2025,Odisha,Keonjhar,1312.65,15437,26860.38,94.73,1.74
Mesta,Rabi,2007-2008,Odisha,Koraput,1299.06,23691,37431.78,149.06,1.58
Small Millets,Rabi,2001-2002,Odisha,Dhenkanal,1402.5,23254,34648.46,233.72,1.49
Mustard,Rabi,2021-2022,Odisha,Sundargarh,1418.82,8596,14269.36,165.58,1.66
Pineapple,Rabi,2018-2019,Odisha,Boudh,1496.32,26338,42140.8,108.77,1.6
Jackfruit,Kharif,2003-2004,Odisha,Malkangiri,1564.15,21815,32068.05,168.5,1.47
Groundnut,Kharif,2005-2006,Odisha,Malkangiri,1408.8,25903,37818.38,225.18,1.46
Gram (Chickpea),Kharif,2021-2022,Odisha,Sambalpur,1500.43,7103,12004.07,185.15,1.69
Potato,Kharif,2017-2018,Odisha,Cuttack,1684.56,18722,425176.62,96.82,22.71
Rice (Paddy),Rabi,2024-2025,Odisha,Jajpur,1438.2,132168,489021.6,176.07,3.7
Tobacco,Kharif,2014-2015,Odisha,Khordha,1344.07,23688,39795.84,255.55,1.68
Wheat,Kharif,2012-2013,Odisha,Mayurbhanj,1516.57,22998,54735.24,154.27,2.38
Tomato,Rabi,2007-2008,Odisha,Malkangiri,1296.76,6197,9233.53,98.23,1.49
Sugarcane,Kharif,2016-2017,Odisha,Bhadrak,1492.0,3960,318859.2,170.21,80.52
Groundnut,Kharif,2016-2017,Odisha,Bhadrak,1315.55,4416,7551.36,150.67,1.71
Rice (Paddy),Kharif,2005-2006,Odisha,Jajpur,1388.87,73596,263473.68,201.13,3.58
Cabbage,Rabi,2001-2002,Odisha,Gajapati,1331.78,24912,40108.32,193.12,1.61
Ginger,Kharif,2008-2009,Odisha,Jharsuguda,1545.08,11488,17461.76,154.98,1.52
Oranges & Limes,Rabi,2015-2016,Odisha,Jagatsinghapur,1465.76,12932,22760.32,168.9,1.76
Biri (Black Gram),Rabi,2006-2007,Odisha,Jharsuguda,1734.78,11514,17040.72,126.41,1.48
Sunflower,Kharif,2005-2006,Odisha,Mayurbhanj,1551.82,22151,31232.91,87.75,1.41
Arhar (Pigeon Pea),Rabi,2003-2004,Odisha,Gajapati,1563.99,19333,28612.84,227.41,1.48
Rice (Paddy),Rabi,2003-2004,Odisha,Kandhamal,1344.8,144279,483334.65,157.87,3.35
Field Pea,Kharif,2023-2024,Odisha,Rayagada,1213.05,20696,30837.04,117.25,1.49
Papaya,Rabi,2024-2025,Odisha,Bargarh,1501.15,23391,828977.04,209.44,35.44
Gourds,Kharif,2006-2007,Odisha,Rayagada,1473.21,24319,36478.5,145.44,1.5
Brinjal (Eggplant),Rabi,2008-2009,Odisha,Deogarh,1421.44,16894,24496.3,249.49,1.45
Gram (Chickpea),Kharif,2018-2019,Odisha,Khordha,1348.71,12721,21371.28,115.28,1.68
Coriander,Kharif,2022-2023,Odisha,Malkangiri,1605.72,4606,7922.32,163.82,1.72
Cashew,Kharif,2007-2008,Odisha,Kalahandi,1671.01,15868,25388.8,94.02,1.6
Wheat,Kharif,2023-2024,Odisha,Kandhamal,1510.97,14283,33707.88,201.54,2.36
Sapota,Rabi,2008-2009,Odisha,Ganjam,1710.9,38097,58288.41,206.09,1.53
Coriander,Kharif,2015-2016,Odisha,Kandhamal,1436.22,8454,15386.28,104.07,1.82
Jackfruit,Kharif,2014-2015,Odisha,Cuttack,1298.86,19305,34942.05,200.11,1.81
Oil Palm,Kharif,2015-2016,Odisha,Bargarh,1609.07,18286,30171.9,237.18,1.65
Small Millets,Kharif,2012-2013,Odisha,Mayurbhanj,1255.07,24705,41504.4,137.71,1.68
Banana,Rabi,2001-2002,Odisha,Ganjam,1214.62,7600,224048.0,158.33,29.48
Mesta,Kharif,2021-2022,Odisha,Nayagarh,1481.2,12217,21990.6,151.45,1.8
Coriander,Rabi,2003-2004,Odisha,Cuttack,1376.45,18200,32214.0,230.15,1.77
Sweet Potato,Kharif,2014-2015,Odisha,Gajapati,1341.41,25545,45214.65,187.99,1.77
Gram (Chickpea),Rabi,2017-2018,Odisha,Bhadrak,1585.26,19440,35380.8,205.07,1.82
Ginger,Rabi,2020-2021,Odisha,Gajapati,1576.29,15515,24824.0,128.47,1.6
Maize,Rabi,2015-2016,Odisha,Bhadrak,1545.86,15658,48539.8,222.96,3.1
Groundnut,Rabi,2019-2020,Odisha,Balasore,1492.57,16906,27556.78,178.85,1.63
Rice (Paddy),Kharif,2010-2011,Odisha,Sundargarh,1434.17,98494,354578.4,177.02,3.6
Sapota,Kharif,2003-2004,Odisha,Balangir,1601.31,18269,29778.47,175.21,1.63
Brinjal (Eggplant),Kharif,2016-2017,Odisha,Khordha,1476.49,21771,37010.7,162.67,1.7
Rice (Paddy),Rabi,2023-2024,Odisha,Mayurbhanj,1485.01,185064,699541.92,245.15,3.78
Jowar (Sorghum),Kharif,2010-2011,Odisha,Koraput,1519.3,35446,57776.98,192.6,1.63
Rubber,Kharif,2010-2011,Odisha,Nayagarh,1221.03,26114,39171.0,103.24,1.5
Arhar (Pigeon Pea),Rabi,2020-2021,Odisha,Kandhamal,1603.36,18079,30372.72,228.86,1.68
Mustard,Kharif,2010-2011,Odisha,Gajapati,1624.78,19104,30184.32,173.46,1.58
Sweet Potato,Rabi,2009-2010,Odisha,Jharsuguda,1265.0,12675,17491.5,244.65,1.38
Litchi,Rabi,2003-2004,Odisha,Malkangiri,1558.52,19961,30340.72,155.72,1.52
Papaya,Kharif,2019-2020,Odisha,Jharsuguda,1298.41,27326,949305.24,239.46,34.74
Gram (Chickpea),Kharif,2007-2008,Odisha,Bargarh,1784.79,22600,35934.0,198.75,1.59
Tea,Rabi,2021-2022,Odisha,Bargarh,1586.43,26809,45575.3,236.8,1.7
Ginger,Rabi,2000-2001,Odisha,Deogarh,1449.06,16009,23693.32,206.9,1.48
Ginger,Rabi,2017-2018,Odisha,Cuttack,1386.11,1438,2415.84,140.48,1.68
Cashew,Kharif,2013-2014,Odisha,Jajpur,1610.91,12482,20969.76,200.88,1.68
Coriander,Kharif,2020-2021,Odisha,Subarnapur,1524.73,19250,33110.0,160.69,1.72
Mustard,Kharif,2019-2020,Odisha,Sundargarh,1744.72,14896,24280.48,181.98,1.63
Sugarcane,Kharif,2017-2018,Odisha,Jharsuguda,1736.56,9429,777138.18,143.41,82.42
Cowpea,Kharif,2006-2007,Odisha,Jagatsinghapur,1497.8,20717,30868.33,119.61,1.49
Sesamum (Til),Rabi,2023-2024,Odisha,Nuapada,1314.57,37814,65796.36,213.79,1.74
Coffee,Kharif,2023-2024,Odisha,Boudh,1338.01,18589,30485.96,149.58,1.64
Jackfruit,Rabi,2014-2015,Odisha,Nayagarh,1313.17,21951,35341.11,131.11,1.61
Sugarcane,Rabi,2024-2025,Odisha,Kalahandi,1520.65,6256,506548.32,195.21,80.97
Banana,Rabi,2015-2016,Odisha,Rayagada,1277.6,7024,208191.36,215.04,29.64
Cardamom,Kharif,2002-2003,Odisha,Jharsuguda,1446.32,11953,19363.86,87.42,1.62
Rice (Paddy),Rabi,2016-2017,Odisha,Keonjhar,1347.56,92603,334296.83,163.85,3.61
Castor,Rabi,2003-2004,Odisha,Kendrapara,1421.92,11026,16869.78,198.68,1.53
Field Pea,Rabi,2015-2016,Odisha,Jagatsinghapur,1389.55,25611,41233.71,240.46,1.61
Litchi,Kharif,2019-2020,Odisha,Kalahandi,1552.14,12028,20207.04,143.63,1.68
Pumpkin,Rabi,2011-2012,Odisha,Nuapada,1509.81,16136,25172.16,116.12,1.56
Banana,Kharif,2003-2004,Odisha,Jagatsinghapur,1323.58,16316,483443.08,236.42,29.63
Oil Palm,Rabi,2022-2023,Odisha,Jagatsinghapur,1464.43,9951,17911.8,155.14,1.8
Sesamum (Til),Rabi,2021-2022,Odisha,Jharsuguda,1435.56,32396,50537.76,176.67,1.56
Turmeric,Kharif,2008-2009,Odisha,Balangir,1278.4,24553,39039.27,227.82,1.59
Sesamum (Til),Kharif,2023-2024,Odisha,Nabarangpur,1400.24,34043,60256.11,212.2,1.77
Small Millets,Rabi,2021-2022,Odisha,Cuttack,1718.09,500,805.0,110.98,1.61
Niger,Rabi,2009-2010,Odisha,Sambalpur,1389.3,27673,42062.96,198.21,1.52
Jackfruit,Kharif,2008-2009,Odisha,Subarnapur,1347.14,20528,32844.8,140.72,1.6
Ginger,Kharif,2011-2012,Odisha,Kalahandi,1534.7,15686,27450.5,202.01,1.75
Guava,Rabi,2023-2024,Odisha,Jharsuguda,1448.75,10598,18758.46,105.26,1.77
Garlic,Rabi,2009-2010,Odisha,Nayagarh,1408.85,24536,39502.96,184.2,1.61
Turmeric,Rabi,2013-2014,Odisha,Koraput,1306.38,28420,49166.6,202.93,1.73
Biri (Black Gram),Kharif,2002-2003,Odisha,Bhadrak,1472.18,21967,29216.11,108.99,1.33
Cauliflower,Kharif,2011-2012,Odisha,Subarnapur,1376.4,21193,34968.45,196.64,1.65
Gram (Chickpea),Kharif,2019-2020,Odisha,Nabarangpur,1516.55,10467,18212.58,96.43,1.74
Pumpkin,Kharif,2008-2009,Odisha,Rayagada,1514.91,23570,35826.4,91.62,1.52
Mung (Green Gram),Kharif,2020-2021,Odisha,Subarnapur,1491.44,14960,24833.6,197.24,1.66
Cauliflower,Kharif,2016-2017,Odisha,Dhenkanal,1382.82,27245,46316.5,107.91,1.7
Black Pepper,Kharif,2022-2023,Odisha,Jajpur,1576.95,20597,34808.93,163.13,1.69
Papaya,Rabi,2018-2019,Odisha,Bhadrak,1402.61,22100,772616.0,178.04,34.96
Cotton,Rabi,2005-2006,Odisha,Subarnapur,1062.72,52334,27213.68,128.16,0.52
Linseed,Kharif,2023-2024,Odisha,Mayurbhanj,1559.43,21914,40979.18,186.23,1.87
Kulthi (Horse Gram),Kharif,2006-2007,Odisha,Malkangiri,1599.09,24689,39749.29,127.14,1.61
Coriander,Rabi,2018-2019,Odisha,Nuapada,1620.29,10100,17271.0,187.78,1.71
Biri (Black Gram),Rabi,2007-2008,Odisha,Gajapati,1510.53,11767,17650.5,96.11,1.5
Banana,Rabi,2016-2017,Odisha,Kalahandi,1421.42,8517,255424.83,119.31,29.99
Pineapple,Rabi,2023-2024,Odisha,Boudh,1380.63,33289,51930.84,111.45,1.56
Mung (Green Gram),Kharif,2024-2025,Odisha,Keonjhar,1447.85,8391,15271.62,161.6,1.82
Bajra (Pearl Millet),Rabi,2024-2025,Odisha,Balasore,1536.5,28736,50575.36,160.52,1.76
Mung (Green Gram),Kharif,2012-2013,Odisha,Kalahandi,1483.57,24506,39699.72,176.51,1.62
Cabbage,Kharif,2019-2020,Odisha,Deogarh,1595.47,15516,28704.6,256.34,1.85
Biri (Black Gram),Rabi,2008-2009,Odisha,Mayurbhanj,1446.09,22572,35663.76,196.03,1.58
Rubber,Kharif,2010-2011,Odisha,Malkangiri,1504.44,20653,30153.38,93.01,1.46
Pumpkin,Kharif,2018-2019,Odisha,Jajpur,1564.64,16056,26492.4,159.34,1.65
Exotic Vegetables,Kharif,2005-2006,Odisha,Jajpur,1275.48,21800,33354.0,227.2,1.53
Rubber,Kharif,2011-2012,Odisha,Balangir,1755.8,24418,47126.74,102.14,1.93
Potato,Rabi,2014-2015,Odisha,Nuapada,1469.66,29745,660041.55,116.75,22.19
Black Pepper,Kharif,2010-2011,Odisha,Kandhamal,1312.93,15735,24389.25,221.64,1.55
Ginger,Rabi,2014-2015,Odisha,Nabarangpur,1744.07,17174,27478.4,152.3,1.6
Castor,Rabi,2001-2002,Odisha,Nuapada,1272.3,33587,47693.54,149.7,1.42
Okra (Bhendi),Rabi,2000-2001,Odisha,Khordha,1456.55,25766,40194.96,168.68,1.56
Cashew,Rabi,2024-2025,Odisha,Koraput,1519.38,24870,41284.2,195.08,1.66
Banana,Rabi,2006-2007,Odisha,Nayagarh,1299.48,11534,340714.36,126.42,29.54
Mango,Rabi,2024-2025,Odisha,Nabarangpur,1350.35,18756,33198.12,233.13,1.77
Sesamum (Til),Kharif,2006-2007,Odisha,Nayagarh,1659.0,18849,27519.54,115.01,1.46
Garlic,Kharif,2003-2004,Odisha,Nayagarh,1625.29,28965,44316.45,112.98,1.53
Brinjal (Eggplant),Kharif,2014-2015,Odisha,Keonjhar,1712.99,29887,47520.33,138.58,1.59
Kulthi (Horse Gram),Kharif,2002-2003,Odisha,Angul,1505.98,23747,37995.2,146.99,1.6
Sesamum (Til),Kharif,2016-2017,Odisha,Puri,1291.93,702,1102.14,230.56,1.57
Garlic,Kharif,2016-2017,Odisha,Sundargarh,1359.16,23746,38705.98,128.68,1.63
Chilli,Rabi,2018-2019,Odisha,Khordha,1585.63,23089,41791.09,204.29,1.81
Field Pea,Kharif,2014-2015,Odisha,Mayurbhanj,1221.46,6767,10285.84,133.31,1.52
Black Pepper,Kharif,2017-2018,Odisha,Ganjam,1415.04,15228,23755.68,134.13,1.56
Potato,Rabi,2013-2014,Odisha,Angul,1935.71,26463,613147.71,159.64,23.17
Jowar (Sorghum),Kharif,2024-2025,Odisha,Jharsuguda,1422.96,12641,20478.42,135.49,1.62
Bajra (Pearl Millet),Rabi,2008-2009,Odisha,Keonjhar,1318.94,24207,44782.95,94.77,1.85
Mesta,Rabi,2023-2024,Odisha,Keonjhar,1456.67,15488,27413.76,141.08,1.77
Gram (Chickpea),Kharif,2024-2025,Odisha,Nayagarh,1567.15,27107,43642.27,206.07,1.61
Cauliflower,Rabi,2000-2001,Odisha,Sundargarh,1272.07,16096,25592.64,182.96,1.59
Groundnut,Rabi,2000-2001,Odisha,Subarnapur,1564.85,32519,43900.65,228.02,1.35
Ginger,Rabi,2011-2012,Odisha,Nabarangpur,1324.31,25887,40642.59,245.74,1.57
Sweet Potato,Rabi,2007-2008,Odisha,Mayurbhanj,1656.23,20139,31014.06,96.06,1.54
Chilli,Kharif,2000-2001,Odisha,Kalahandi,1648.37,13769,18037.39,145.23,1.31
Lentil,Kharif,2001-2002,Odisha,Mayurbhanj,1506.67,9013,12798.46,162.53,1.42
Cardamom,Rabi,2006-2007,Odisha,Subarnapur,1609.01,22888,37536.32,220.44,1.64
Exotic Vegetables,Rabi,2010-2011,Odisha,Angul,1262.39,11461,17764.55,156.63,1.55
Litchi,Kharif,2005-2006,Odisha,Rayagada,1402.53,30472,49059.92,150.25,1.61
Field Pea,Kharif,2024-2025,Odisha,Gajapati,1215.0,13646,25108.64,111.72,1.84
Pineapple,Rabi,2011-2012,Odisha,Kandhamal,1512.44,28992,45807.36,251.79,1.58
Cashew,Kharif,2000-2001,Odisha,Jagatsinghapur,1372.66,21560,31477.6,163.82,1.46
Mung (Green Gram),Kharif,2008-2009,Odisha,Kandhamal,1259.99,2016,3084.48,242.99,1.53
Small Millets,Rabi,2018-2019,Odisha,Cuttack,1367.77,15698,26843.58,163.63,1.71
Mesta,Rabi,2005-2006,Odisha,Malkangiri,1607.91,27716,43791.28,89.71,1.58
Mesta,Rabi,2021-2022,Odisha,Sambalpur,1733.83,12329,21822.33,165.88,1.77
Okra (Bhendi),Kharif,2017-2018,Odisha,Khordha,1498.91,22513,43224.96,215.53,1.92
